iter	Logloss
0	0.68597477
1	0.679291823
2	0.6732266115
3	0.6676431476
4	0.6623831514
5	0.6578298684
6	0.6536665983
7	0.649517055
8	0.6459528442
9	0.6425425757
10	0.6394592263
11	0.636700363
12	0.6342014029
13	0.6317429079
14	0.6297217723
15	0.6276666371
16	0.6257720946
17	0.6240452329
18	0.6225156197
19	0.6210988693
20	0.6198502351
21	0.6187651393
22	0.6175794612
23	0.6165596462
24	0.6155467918
25	0.6145602527
26	0.6137749288
27	0.6129739543
28	0.6121369404
29	0.6113689237
30	0.6105851329
31	0.6100042146
32	0.6094386339
33	0.6089008785
34	0.6083816157
35	0.6078443901
36	0.6073602689
37	0.6068555057
38	0.606470535
39	0.6059933867
40	0.6055198283
41	0.605072303
42	0.6047419325
43	0.6043686219
44	0.6040854889
45	0.6037112726
46	0.6034233411
47	0.6031507436
48	0.6027990375
49	0.6024640155
50	0.6021603226
51	0.6019258124
52	0.6015992527
53	0.6012839898
54	0.6010771219
55	0.6008347718
56	0.6006237632
57	0.6004330603
58	0.6002028181
59	0.5999620018
60	0.5997825516
61	0.5995917709
62	0.5993354179
63	0.5991660882
64	0.5989445512
65	0.5986516319
66	0.5983827036
67	0.5981169664
68	0.5978531034
69	0.5975912075
70	0.5973958149
71	0.5971846544
72	0.5970026322
73	0.5968609694
74	0.5966521327
75	0.5964450116
76	0.5962861156
77	0.5960911854
78	0.5959381522
79	0.5957195559
80	0.595523614
81	0.5953243877
82	0.5950860434
83	0.5948161192
84	0.594637033
85	0.5943826269
86	0.5942103393
87	0.5940830606
88	0.593851484
89	0.59373617
90	0.5935428874
91	0.5933450863
92	0.5931901783
93	0.5929689422
94	0.5928182488
95	0.5926440291
96	0.5925592945
97	0.5923985504
98	0.592258649
99	0.5920678898
100	0.5919049611
101	0.5917543301
102	0.5915404831
103	0.5914226335
104	0.5912310914
105	0.5910407782
106	0.5908825999
107	0.5906648478
108	0.5904151209
109	0.5902536336
110	0.5901386533
111	0.5899099675
112	0.5897622605
113	0.5895515259
114	0.5893815948
115	0.589207561
116	0.5889865682
117	0.5888191865
118	0.5886156899
119	0.5883794694
120	0.5882089979
121	0.5880349611
122	0.5878515158
