iter	Passed	Remaining
0	6	2152
1	11	2049
2	16	1953
3	21	1872
4	26	1824
5	31	1807
6	36	1768
7	41	1756
8	45	1732
9	50	1721
10	55	1705
11	59	1688
12	64	1682
13	69	1679
14	74	1664
15	79	1659
16	84	1656
17	89	1646
18	93	1630
19	98	1631
20	103	1621
21	108	1612
22	113	1609
23	117	1601
24	122	1594
25	127	1588
26	132	1579
27	136	1571
28	141	1564
29	146	1562
30	151	1559
31	156	1553
32	161	1550
33	166	1547
34	171	1541
35	176	1535
36	181	1532
37	186	1530
38	191	1524
39	195	1518
40	201	1515
41	205	1509
42	210	1501
43	214	1493
44	219	1485
45	223	1479
46	228	1472
47	233	1466
48	237	1460
49	242	1455
50	247	1451
51	252	1445
52	257	1440
53	262	1437
54	266	1431
55	271	1425
56	276	1419
57	280	1414
58	285	1408
59	290	1403
60	295	1398
61	299	1391
62	304	1385
63	308	1378
64	313	1374
65	318	1368
66	322	1362
67	327	1357
68	332	1352
69	336	1347
70	341	1341
71	346	1337
72	351	1332
73	355	1325
74	359	1319
75	364	1314
76	368	1308
77	373	1302
78	379	1300
79	383	1294
80	387	1288
81	392	1282
82	397	1277
83	402	1273
84	406	1268
85	412	1265
86	417	1260
87	421	1255
88	426	1250
89	431	1245
90	436	1241
91	440	1236
92	445	1231
93	450	1227
94	455	1222
95	460	1218
96	465	1213
97	470	1209
98	474	1203
99	479	1199
100	484	1194
101	489	1189
102	494	1185
103	498	1180
104	503	1175
105	508	1171
106	513	1166
107	518	1161
108	523	1157
109	528	1152
110	532	1146
111	536	1140
112	540	1134
113	545	1129
114	550	1124
115	555	1119
116	560	1116
117	565	1111
118	570	1106
119	575	1102
120	580	1097
121	584	1092
122	588	1086
123	593	1082
124	598	1077
125	602	1071
126	607	1065
127	612	1061
128	616	1056
129	621	1051
130	625	1046
131	630	1041
132	635	1036
133	639	1031
134	644	1026
135	648	1020
136	653	1016
137	658	1011
138	662	1006
139	667	1001
140	672	996
141	676	991
142	681	986
143	686	981
144	690	976
145	695	971
146	699	966
147	704	961
148	709	957
149	713	951
150	718	946
151	722	941
152	727	936
153	731	931
154	736	926
155	740	921
156	745	916
157	750	911
158	754	906
159	759	901
160	763	896
161	768	891
162	772	886
163	777	881
164	781	876
165	785	871
166	790	865
167	794	860
168	798	855
169	803	850
170	808	845
171	812	841
172	817	836
173	822	831
174	826	826
175	831	822
176	836	817
177	840	812
178	845	807
179	849	802
180	853	796
181	857	791
182	862	787
183	867	782
184	871	777
185	876	772
186	880	767
187	885	762
188	889	757
189	894	753
190	898	748
191	903	743
192	908	738
193	912	733
194	916	728
195	921	723
196	925	719
197	930	714
198	934	709
199	938	704
200	943	699
201	947	694
202	952	689
203	956	684
204	961	679
205	965	674
206	969	669
207	974	665
208	979	660
209	983	655
210	988	651
211	993	646
212	997	641
213	1001	636
214	1006	631
215	1010	627
216	1015	622
217	1019	617
218	1024	612
219	1029	608
220	1033	603
221	1037	598
222	1042	593
223	1046	588
224	1051	584
225	1055	579
226	1060	574
227	1065	569
228	1070	565
229	1075	561
230	1080	556
231	1084	551
232	1089	546
233	1094	542
234	1098	537
235	1103	532
236	1107	528
237	1111	523
238	1116	518
239	1121	513
240	1125	508
241	1129	504
242	1134	499
243	1138	494
244	1143	490
245	1147	485
246	1152	480
247	1156	475
248	1161	471
249	1166	466
250	1170	461
251	1175	457
252	1180	452
253	1185	447
254	1189	443
255	1193	438
256	1198	433
257	1202	428
258	1207	424
259	1212	419
260	1216	414
261	1221	410
262	1225	405
263	1230	400
264	1234	396
265	1239	391
266	1243	386
267	1248	382
268	1253	377
269	1258	372
270	1262	368
271	1267	363
272	1272	358
273	1276	354
274	1281	349
275	1285	344
276	1290	340
277	1294	335
278	1299	330
279	1304	326
280	1308	321
281	1312	316
282	1317	311
283	1321	307
284	1326	302
285	1330	297
286	1335	293
287	1339	288
288	1343	283
289	1348	278
290	1352	274
291	1357	269
292	1362	264
293	1366	260
294	1371	255
295	1375	250
296	1379	246
297	1384	241
298	1389	237
299	1393	232
300	1398	227
301	1403	223
302	1408	218
303	1412	213
304	1417	209
305	1422	204
306	1426	199
307	1430	195
308	1435	190
309	1439	185
310	1444	181
311	1449	176
312	1453	171
313	1457	167
314	1462	162
315	1466	157
316	1471	153
317	1475	148
318	1479	143
319	1484	139
320	1489	134
321	1494	129
322	1499	125
323	1503	120
324	1507	115
325	1512	111
326	1516	106
327	1521	102
328	1525	97
329	1530	92
330	1534	88
331	1539	83
332	1543	78
333	1548	74
334	1553	69
335	1557	64
336	1561	60
337	1566	55
338	1570	50
339	1575	46
340	1580	41
341	1585	37
342	1589	32
343	1594	27
344	1598	23
345	1603	18
346	1607	13
347	1611	9
348	1616	4
349	1620	0
